Neighborhood,Latitude,Longitude
Ashok Nagar (Delhi),28.692230000000052,77.30124000000006
Ashok Vihar,28.690390000000036,77.17607000000004
Ashram Chowk,28.710598435255907,77.32696519316737
Babarpur,28.682156397383746,77.2853940813213
"Badarpur, Delhi",28.50738000000007,77.30346000000003
Bali Nagar,28.65223022436032,77.12941079026544
Bawana,28.800590000000057,77.03473000000008
Ber Sarai,28.549540000000036,77.18167000000005
Bhajanpura,28.699880000000064,77.25906000000003
Chanakyapuri,28.595060000000046,77.18573000000004
Chandni Chowk,28.656270000000063,77.23232000000007
"Civil Lines, Delhi",28.67671000000007,77.21767000000006
"Connaught Place, New Delhi",28.633940000000052,77.21968000000004
"Dabri, New Delhi",28.60761000000008,77.08714000000003
Dariba Kalan,28.654597885415757,77.2333966005242
Daryaganj,28.62832000000003,77.24727000000007
Dashrath Puri,28.605840000000057,77.08371000000005
Dayal Pur,28.71768000000003,77.26517000000007
Dayanand Colony,28.560590000000047,77.24678000000006
Defence Colony,28.57298000000003,77.23357000000004
Delhi Cantonment,28.591510000000028,77.12945000000008
Derawal Nagar,28.699110000000076,77.19105000000008
Dhaula Kuan,28.592377945217475,77.1594798751621
Dilshad Colony,28.684700000000078,77.32774000000006
Dilshad Garden,28.679040000000043,77.31476000000004
"Dwarka, Delhi",28.589950000000044,77.04004000000003
East Patel Nagar,28.64817000000005,77.17833000000007
Fateh Nagar,28.631470000000036,77.10316000000006
"Gadaipur, Mehrauli, New Delhi",28.521130000000028,77.18017000000003
Geetanjali Enclave,28.528450000000078,77.20354000000003
Ghitorni,28.498260000000073,77.13609000000008
Gole Market,28.634100000000046,77.20569000000006
"Golf Links, New Delhi",28.603040000000078,77.23269000000005
Govindpuri,28.53508000000005,77.26512000000008
Greater Kailash,28.548490000000072,77.23667000000006
"Green Park, Delhi",28.55869000000007,77.20455000000004
Gulabi Bagh,28.620430000000056,77.04941000000008
Gulmohar Park,28.55439000000007,77.21252000000004
Haqiqat Nagar,30.919800000000066,75.80945000000008
Hauz Khas,28.551090000000045,77.20399000000003
INA Colony,28.574860000000058,77.21117000000004
Inder Puri,28.628030000000024,77.14504000000005
"Jaffrabad, Delhi",28.678709016675583,77.27282425717264
Janakpuri,28.627910000000043,77.09060000000005
Jangpura,28.583770000000072,77.24685000000005
Jia Sarai,28.546380000000056,77.18897000000004
"Kabir Nagar, New Delhi",28.68958128750443,77.14103197108372
Kailash Colony,28.556130000000053,77.24060000000003
"Kamla Nagar, New Delhi",28.683760000000063,77.20163000000008
"Kapasheda Border, Delhi",28.521630000000073,77.08645000000007
Karawal Nagar,28.727590000000077,77.27018000000004
Karol Bagh,28.650450000000035,77.18873000000008
Kathputli Colony,28.653460000000052,77.15286000000003
Keshav Puram,28.688010000000077,77.15866000000005
"Khaira, Delhi",28.594100000000026,76.97036000000008
"Khanpur, Delhi",28.509630000000072,77.23108000000008
Khari Baoli,28.657260000000065,77.22284000000008
Kingsway Camp,28.711690000000033,77.20197000000007
Kirti Nagar,28.648210000000063,77.14273000000003
Kotla Mubarakpur Complex,28.574350000000038,77.22419000000008
"Krishna Nagar, Delhi",28.654420000000073,77.18716000000006
Lajpat Nagar,28.570260000000076,77.24700000000007
Laxmi Nagar (Delhi),28.638750000000073,77.27592000000004
Laxmibai Nagar,28.57815000000005,77.20618000000007
Lodhi Colony,28.584750000000042,77.22534000000007
Lutyens' Delhi,28.601480000000038,77.22901000000007
Madanpur Khadar JJ Colony,28.532130000000052,77.31536000000006
Maharani Bagh,28.572230000000047,77.26357000000007
Mahipalpur,28.54842000000008,77.13636000000008
Majnu-ka-tilla,28.698930000000075,77.22715000000005
Malviya Nagar (Delhi),28.53394000000003,77.20702000000006
Mayapuri,28.62334000000004,77.12096000000008
Mayur Vihar,28.60771362755196,77.29067009491175
Mayur Vihar Phase - 3,28.61125000000004,77.33406000000008
Meera Bagh,28.66121000000004,77.08690000000007
Mehrauli,28.521130000000028,77.18017000000003
Model Town (Delhi),28.705010000000073,77.18950000000007
Moti Bagh,28.583620000000053,77.16474000000005
Moti Nagar (New Delhi),28.656720000000064,77.12960000000004
Mukherjee Nagar,28.710530000000063,77.21440000000007
Munirka,28.555040000000076,77.17132000000004
Najafgarh,28.62510000000003,76.99740000000008
Nanakpura,28.622880000000066,77.11337000000003
Nand Nagri,28.696710000000053,77.30385000000007
